question,group,item,agreement_percent
Current frequency of buying organic foods,Age 14-29,Exclusively,3
Current frequency of buying organic foods,Age 14-29,Frequently,30
Current frequency of buying organic foods,Age 14-29,Occasionally,51
Current frequency of buying organic foods,Age 14-29,Never,16
Current frequency of buying organic foods,Age 30-49,Exclusively,3
Current frequency of buying organic foods,Age 30-49,Frequently,38
Current frequency of buying organic foods,Age 30-49,Occasionally,43
Current frequency of buying organic foods,Age 30-49,Never,16
Current frequency of buying organic foods,Age 50+,Exclusively,3
Current frequency of buying organic foods,Age 50+,Frequently,31
Current frequency of buying organic foods,Age 50+,Occasionally,51
Current frequency of buying organic foods,Age 50+,Never,15
Current frequency of buying organic foods,Female,Exclusively,4
Current frequency of buying organic foods,Female,Frequently,36
Current frequency of buying organic foods,Female,Occasionally,48
Current frequency of buying organic foods,Female,Never,12
Current frequency of buying organic foods,Male,Exclusively,3
Current frequency of buying organic foods,Male,Frequently,29
Current frequency of buying organic foods,Male,Occasionally,50
Current frequency of buying organic foods,Male,Never,18
Current frequency of buying organic foods,Total,Exclusively,3
Current frequency of buying organic foods,Total,Frequently,33
Current frequency of buying organic foods,Total,Occasionally,49
Current frequency of buying organic foods,Total,Never,15
Planned frequency of buying organic foods in the future,Age 14-29,Exclusively,3
Planned frequency of buying organic foods in the future,Age 14-29,Frequently,40
Planned frequency of buying organic foods in the future,Age 14-29,Occasionally,50
Planned frequency of buying organic foods in the future,Age 14-29,Never,7
Planned frequency of buying organic foods in the future,Age 30-49,Exclusively,5
Planned frequency of buying organic foods in the future,Age 30-49,Frequently,40
Planned frequency of buying organic foods in the future,Age 30-49,Occasionally,41
Planned frequency of buying organic foods in the future,Age 30-49,Never,14
Planned frequency of buying organic foods in the future,Age 50+,Exclusively,4
Planned frequency of buying organic foods in the future,Age 50+,Frequently,35
Planned frequency of buying organic foods in the future,Age 50+,Occasionally,49
Planned frequency of buying organic foods in the future,Age 50+,Never,12
Planned frequency of buying organic foods in the future,Female,Exclusively,5
Planned frequency of buying organic foods in the future,Female,Frequently,39
Planned frequency of buying organic foods in the future,Female,Occasionally,46
Planned frequency of buying organic foods in the future,Female,Never,10
Planned frequency of buying organic foods in the future,Male,Exclusively,3
Planned frequency of buying organic foods in the future,Male,Frequently,35
Planned frequency of buying organic foods in the future,Male,Occasionally,48
Planned frequency of buying organic foods in the future,Male,Never,14
Planned frequency of buying organic foods in the future,Total,Exclusively,4
Planned frequency of buying organic foods in the future,Total,Frequently,38
Planned frequency of buying organic foods in the future,Total,Occasionally,46
Planned frequency of buying organic foods in the future,Total,Never,12
Reasons for buying organic foods,Age 14-29,Animal welfare,87
